Study,Study_Num,Species,Dexterity,Monkey,Monkey_Num_Overall,Monkey_Num,Num_Radial,Num_Trials,Prop_Radial
"Zander & Judge, 2015",1,Capuchin,High,De,1,1,10,20,0.5
"Zander & Judge, 2015",1,Capuchin,High,Sc,2,2,14,20,0.7
"Zander & Judge, 2015",1,Capuchin,High,Sb,3,3,15,20,0.75
"Zander & Judge, 2015",1,Capuchin,High,Sm,4,4,15,20,0.75
"Zander & Judge, 2015",1,Capuchin,High,Mt,5,5,17,20,0.85
"Zander & Judge, 2015",1,Capuchin,High,Nb,6,6,17,20,0.85
"Zander & Judge, 2015",1,Capuchin,High,Sg,7,7,17,20,0.85
"Zander & Judge, 2015",1,Capuchin,High,Sd,8,8,17,20,0.85
"Zander & Judge, 2015",1,Capuchin,High,Nw,9,9,18,20,0.9
"Zander & Judge, 2015",1,Capuchin,High,Nk,10,10,19,20,0.95
"Zander & Judge, 2015",1,Capuchin,High,Ny,11,11,19,20,0.95
"Zander & Judge, 2015",1,Capuchin,High,Dv,12,12,20,20,1
"Zander & Judge, 2015",1,Capuchin,High,Overall,13,13,198,240,0.825
"Sabbatini et al., 2016",2,Capuchin,High,Robot,14,1,21,46,0.456521739
"Sabbatini et al., 2016",2,Capuchin,High,Quincy,15,2,24,44,0.545454545
"Sabbatini et al., 2016",2,Capuchin,High,Toto,16,3,25,40,0.625
"Sabbatini et al., 2016",2,Capuchin,High,Paprica,17,4,28,43,0.651162791
"Sabbatini et al., 2016",2,Capuchin,High,Pate,18,5,32,43,0.744186047
"Sabbatini et al., 2016",2,Capuchin,High,RobinHood,19,6,38,47,0.808510638
"Sabbatini et al., 2016",2,Capuchin,High,Carlotta,20,7,35,41,0.853658537
"Sabbatini et al., 2016",2,Capuchin,High,Cammello,21,8,36,40,0.9
"Sabbatini et al., 2016",2,Capuchin,High,Rucola,22,9,39,43,0.906976744
"Sabbatini et al., 2016",2,Capuchin,High,Robiola,23,10,40,40,1
"Sabbatini et al., 2016",2,Capuchin,High,Overall,24,11,318,427,0.744730679
"Truppa et al., 2020",3,Capuchin,High,Jatoba,25,1,23,24,0.958
"Truppa et al., 2020",3,Capuchin,High,Pamonha,26,2,25,26,0.961
"Truppa et al., 2020",3,Capuchin,High,Doree,27,3,13,13,1
"Truppa et al., 2020",3,Capuchin,High,Pacoca,28,4,10,10,1
"Truppa et al., 2020",3,Capuchin,High,Overall,29,5,0,0,0.98
"Schwob et al., 2021",4,Tamarin,Low,Lisa,30,1,28,31,0.903225806
"Schwob et al., 2021",4,Tamarin,Low,Homer,31,2,30,33,0.90909
"Schwob et al., 2021",4,Tamarin,Low,Elaine,32,3,34,36,0.944444
"Schwob et al., 2021",4,Tamarin,Low,Mulva,33,4,33,34,0.970588235
"Schwob et al., 2021",4,Tamarin,Low,Bart,34,5,12,12,1
"Schwob et al., 2021",4,Tamarin,Low,Maggie,35,6,20,20,1
"Schwob et al., 2021",4,Tamarin,Low,Dolores,36,7,3,3,1
"Schwob et al., 2021",4,Tamarin,Low,Overall,37,8,159,169,0.96428571